,0
0,Umbrella cell(Bladder)
1,Umbrella cell(Bladder)
2,Umbrella cell(Bladder)
3,Umbrella cell(Bladder)
4,Umbrella cell(Bladder)
5,Umbrella cell(Bladder)
6,Umbrella cell(Bladder)
7,Umbrella cell(Bladder)
8,Umbrella cell(Bladder)
9,Umbrella cell(Bladder)
10,Umbrella cell(Bladder)
11,Umbrella cell(Bladder)
12,Umbrella cell(Bladder)
13,Umbrella cell(Bladder)
14,Umbrella cell(Bladder)
15,Umbrella cell(Bladder)
16,Umbrella cell(Bladder)
17,Umbrella cell(Bladder)
18,Umbrella cell(Bladder)
19,Umbrella cell(Bladder)
20,Umbrella cell(Bladder)
21,Umbrella cell(Bladder)
22,Umbrella cell(Bladder)
23,Umbrella cell(Bladder)
24,Umbrella cell(Bladder)
25,Umbrella cell(Bladder)
26,Umbrella cell(Bladder)
27,Umbrella cell(Bladder)
28,Umbrella cell(Bladder)
29,Umbrella cell(Bladder)
30,Umbrella cell(Bladder)
31,Umbrella cell(Bladder)
32,Umbrella cell(Bladder)
33,Umbrella cell(Bladder)
34,Umbrella cell(Bladder)
35,Umbrella cell(Bladder)
36,Umbrella cell(Bladder)
37,Umbrella cell(Bladder)
38,Umbrella cell(Bladder)
39,Umbrella cell(Bladder)
40,Umbrella cell(Bladder)
41,Umbrella cell(Bladder)
42,Umbrella cell(Bladder)
43,Umbrella cell(Bladder)
44,Umbrella cell(Bladder)
45,Umbrella cell(Bladder)
46,Umbrella cell(Bladder)
47,Umbrella cell(Bladder)
48,Umbrella cell(Bladder)
49,Umbrella cell(Bladder)
50,Umbrella cell(Bladder)
51,Umbrella cell(Bladder)
52,Urothelium(Bladder)
53,Umbrella cell(Bladder)
54,Umbrella cell(Bladder)
55,Umbrella cell(Bladder)
56,Umbrella cell(Bladder)
57,Umbrella cell(Bladder)
58,Umbrella cell(Bladder)
59,Urothelium(Bladder)
60,Urothelium(Bladder)
61,Umbrella cell(Bladder)
62,Umbrella cell(Bladder)
63,Umbrella cell(Bladder)
64,Urothelium(Bladder)
65,Umbrella cell(Bladder)
66,Umbrella cell(Bladder)
67,Umbrella cell(Bladder)
68,Urothelium(Bladder)
69,Urothelium(Bladder)
70,Urothelium(Bladder)
71,Umbrella cell(Bladder)
72,Urothelium(Bladder)
73,Urothelium(Bladder)
74,Urothelium(Bladder)
75,Urothelium(Bladder)
76,Umbrella cell(Bladder)
77,Urothelium(Bladder)
78,Stromal cell_Dpt high(Bladder)
79,Urothelium(Bladder)
80,Urothelium(Bladder)
81,Umbrella cell(Bladder)
82,Urothelium(Bladder)
83,Urothelium(Bladder)
84,Urothelium(Bladder)
85,Dendritic cell_Cd74 high(Bladder)
86,Stromal cell_Dpt high(Bladder)
87,Umbrella cell(Bladder)
88,Urothelium(Bladder)
89,Urothelium(Bladder)
90,Umbrella cell(Bladder)
91,Urothelium(Bladder)
92,Basal epithelial cell(Bladder)
93,Basal epithelial cell(Bladder)
94,Urothelium(Bladder)
95,Stromal cell_Dpt high(Bladder)
96,Umbrella cell(Bladder)
97,Urothelium(Bladder)
98,Urothelium(Bladder)
99,Urothelium(Bladder)
100,Urothelium(Bladder)
101,Urothelium(Bladder)
102,Urothelium(Bladder)
103,Urothelium(Bladder)
104,Urothelium(Bladder)
105,Basal epithelial cell(Bladder)
106,Umbrella cell(Bladder)
107,Urothelium(Bladder)
108,Umbrella cell(Bladder)
109,Urothelium(Bladder)
110,Urothelium(Bladder)
111,Stromal cell_Car3 high(Bladder)
112,Urothelium(Bladder)
113,Stromal cell_Dpt high(Bladder)
114,Urothelium(Bladder)
115,Urothelium(Bladder)
116,Urothelium(Bladder)
117,Urothelium(Bladder)
118,Urothelium(Bladder)
119,Urothelium(Bladder)
120,Urothelium(Bladder)
121,Urothelium(Bladder)
122,Urothelium(Bladder)
123,Urothelium(Bladder)
124,Urothelium(Bladder)
125,Urothelium(Bladder)
126,Urothelium(Bladder)
127,Urothelium(Bladder)
128,Urothelium(Bladder)
129,Urothelium(Bladder)
130,Mesenchymal stromal cell(Bladder)
131,Urothelium(Bladder)
132,Basal epithelial cell(Bladder)
133,Urothelium(Bladder)
134,Basal epithelial cell(Bladder)
135,Urothelium(Bladder)
136,Urothelium(Bladder)
137,Urothelium(Bladder)
138,Basal epithelial cell(Bladder)
139,Urothelium(Bladder)
140,Urothelium(Bladder)
141,Basal epithelial cell(Bladder)
142,Urothelium(Bladder)
143,Urothelium(Bladder)
144,Basal epithelial cell(Bladder)
145,Urothelium(Bladder)
146,Urothelium(Bladder)
147,Basal epithelial cell(Bladder)
148,Umbrella cell(Bladder)
149,Urothelium(Bladder)
150,Urothelium(Bladder)
151,Stromal cell_Dpt high(Bladder)
152,Umbrella cell(Bladder)
153,Umbrella cell(Bladder)
154,Urothelium(Bladder)
155,Basal epithelial cell(Bladder)
156,Urothelium(Bladder)
157,Urothelium(Bladder)
158,Urothelium(Bladder)
159,Urothelium(Bladder)
160,Stromal cell_Dpt high(Bladder)
161,Basal epithelial cell(Bladder)
162,Urothelium(Bladder)
163,Urothelium(Bladder)
164,Urothelium(Bladder)
165,Urothelium(Bladder)
166,Urothelium(Bladder)
167,Urothelium(Bladder)
168,Urothelium(Bladder)
169,Urothelium(Bladder)
170,Urothelium(Bladder)
171,Urothelium(Bladder)
172,Urothelium(Bladder)
173,Urothelium(Bladder)
174,Basal epithelial cell(Bladder)
175,Basal epithelial cell(Bladder)
176,Basal epithelial cell(Bladder)
177,Urothelium(Bladder)
178,Basal epithelial cell(Bladder)
179,Mesenchymal stromal cell(Bladder)
180,Urothelium(Bladder)
181,Basal epithelial cell(Bladder)
182,Urothelium(Bladder)
183,Basal epithelial cell(Bladder)
184,Urothelium(Bladder)
185,Urothelium(Bladder)
186,Urothelium(Bladder)
187,Urothelium(Bladder)
188,Urothelium(Bladder)
189,Urothelium(Bladder)
190,Urothelium(Bladder)
191,Urothelium(Bladder)
192,Basal epithelial cell(Bladder)
193,Urothelium(Bladder)
194,Urothelium(Bladder)
195,Urothelium(Bladder)
196,Basal epithelial cell(Bladder)
197,Urothelium(Bladder)
198,Urothelium(Bladder)
199,Urothelium(Bladder)
200,Urothelium(Bladder)
201,Basal epithelial cell(Bladder)
202,Urothelium(Bladder)
203,Urothelium(Bladder)
204,Urothelium(Bladder)
205,Smooth muscle cell(Bladder)
206,Basal epithelial cell(Bladder)
207,Basal epithelial cell(Bladder)
208,Basal epithelial cell(Bladder)
209,Basal epithelial cell(Bladder)
210,Urothelium(Bladder)
211,Basal epithelial cell(Bladder)
212,Urothelium(Bladder)
213,Urothelium(Bladder)
214,Urothelium(Bladder)
215,Urothelium(Bladder)
216,Vascular endothelial cell(Bladder)
217,Urothelium(Bladder)
218,Urothelium(Bladder)
219,Stromal cell_Dpt high(Bladder)
220,Urothelium(Bladder)
221,Basal epithelial cell(Bladder)
222,Urothelium(Bladder)
223,Urothelium(Bladder)
224,Urothelium(Bladder)
225,Urothelium(Bladder)
226,Urothelium(Bladder)
227,Stromal cell_Dpt high(Bladder)
228,Urothelium(Bladder)
229,Urothelium(Bladder)
230,Basal epithelial cell(Bladder)
231,Urothelium(Bladder)
232,Urothelium(Bladder)
233,Urothelium(Bladder)
234,Basal epithelial cell(Bladder)
