,index
0,KIAA1841
1,C2orf68
2,C1orf123
3,C4orf19
4,CFAP298
5,C11orf58
6,KIAA0391
7,C9orf16
8,C11orf1
9,SHLD1
10,C8orf33
11,C11orf49
12,C9orf85
13,KIAA1143
14,C3orf58
15,C16orf74
16,C12orf73
17,C2orf40
18,C19orf24
19,C6orf120
20,C19orf12
21,C9orf50
22,C2orf81
23,C9orf116
24,C19orf81
25,C6orf118
26,C17orf97
27,C15orf39
28,C2orf88
29,C10orf82
30,C17orf50
31,C6orf203
32,C1orf21
33,C11orf94
34,C4orf47
35,C16orf46
36,C19orf44
37,C16orf90
38,C20orf27
39,C2orf69
40,C22orf23
41,C2orf74
42,C14orf119
43,C17orf64
44,C11orf98
45,C17orf58
46,TMEM273
47,C16orf72
48,C8orf59
49,CXorf38
50,Gm2036
51,C21orf2
52,C11orf24
53,ATP5MPL
54,C9orf3
55,KIAA1211L
56,C9orf64
57,C12orf43
58,KIAA0825
59,C15orf61
60,C1orf53
61,C19orf25
62,C19orf47
63,C1orf198
64,C11orf52
65,C1orf35
66,KIAA1468
67,C10orf88
68,C6orf136
69,C1orf52
70,C2orf50
71,C19orf70
72,C12orf49
73,C3orf70
74,KIAA2013
75,C8orf37
76,KIAA0100
77,C1orf210
78,KIAA0586
79,C11orf95
80,C1orf131
81,C12orf65
82,C2orf72
83,KIAA1551
84,RMC1
85,C2orf76
86,C15orf40
87,C9orf72
88,C7orf50
89,Xlr
90,C5orf34
91,KIAA1191
92,C7orf31
93,C16orf87
94,C20orf194
95,C19orf71
96,C12orf29
97,C14orf39
98,C3orf67
99,C3orf38
100,C18orf54
101,KIAA0040
102,C17orf107
103,C11orf65
104,C17orf100
105,C4orf17
106,C4orf46
107,C11orf54
108,KIAA0355
109,C14orf93
110,KIAA0895L
111,KIAA1109
112,C21orf62
113,KIAA0753
114,C1orf43
115,KIAA0930
116,KIAA1324
117,CXorf21
118,C1orf216
119,C17orf75
120,INAVA
121,C15orf59
122,C5orf22
123,LOC728392
124,KIAA0513
125,TRMT9B
126,VPS35L
127,C6orf141
128,ARMH3
129,Zfp747
130,C8orf76
131,KIAA0408
132,KIAA1324L
133,C1orf159
134,C5orf15
135,KIAA0895
136,C8orf58
137,KIAA2026
138,C1orf109
139,C1orf74
140,C19orf66
141,C1orf174
142,CCDC9B
143,A4GALT
144,A4GNT
145,KIAA1024L
146,C15orf48
147,C1orf116
148,C19orf38
149,ECPAS
150,MYORG
151,C16orf54
152,C11orf87
153,C2orf49
154,C11orf68
155,NKAPD1
156,C16orf89
157,C1orf50
158,KIAA0319L
159,C7orf25
160,C5orf51
161,KIAA1328
162,AAAS
163,AACS
164,AAED1
165,AAGAB
166,AAK1
167,AAMDC
168,AAMP
169,AAR2
170,AARD
171,AARS
172,AARS2
173,AARSD1
174,AASDH
175,AASDHPPT
176,AASS
177,AATF
178,AATK
179,ABAT
180,ABCA1
181,ABCA2
182,ABCA3
183,ABCA5
184,ABCA6
185,ABCA7
186,ABCA8
187,ABCA9
188,ABCB10
189,ABCB1
190,ABCB6
191,ABCB7
192,ABCB8
193,ABCB9
194,ABCC1
195,ABCC10
196,ABCC3
197,ABCC4
198,ABCC5
199,ABCC8
200,ABCC9
201,ABCD1
202,ABCD2
203,ABCD3
204,ABCD4
205,ABCE1
206,ABCF1
207,ABCF2
208,ABCF3
209,ABCG1
210,ABCG2
211,ABCG4
212,ABCG5
213,ABCG8
214,ABHD10
215,ABHD11
216,ABHD12
217,ABHD13
218,ABHD14A
219,ABHD14B
220,ABHD16A
221,ABHD17A
222,ABHD17B
223,ABHD17C
224,ABHD18
225,ABHD2
226,ABHD3
227,ABHD4
228,ABHD5
229,ABHD6
230,ABHD8
231,ABI1
232,ABI2
233,ABI3
234,ABL1
235,ABL2
236,ABLIM1
237,ABLIM2
238,ABLIM3
239,ABR
240,ABRA
241,ABRACL
242,ABT1
243,ABTB1
244,ABTB2
245,ACAA1
246,ACAA2
247,ACACA
248,ACACB
249,ACAD10
250,ACAD11
251,ACAD8
252,ACAD9
253,ACADL
254,ACADM
255,ACADS
256,ACADSB
257,ACADVL
258,ACAP1
259,ACAP2
260,ACAP3
261,ACAT1
262,ACBD3
263,ACBD4
264,ACBD5
265,ACBD6
266,ACBD7
267,ACCS
268,ACD
269,ACE
270,ACE2
271,ACER2
272,ACER3
273,ACIN1
274,ACKR1
275,ACKR2
276,ACKR3
277,ACKR4
278,ACLY
279,ACO1
280,ACO2
281,ACOD1
282,ACOT11
283,ACOT13
284,ACOT2
285,ACOT4
286,ACOT7
287,ACOT8
288,ACOX1
289,ACOX3
290,ACOXL
291,ACP1
292,ACP2
293,ACP6
294,ACPP
295,ACRBP
296,ACSBG1
297,ACSF2
298,ACSF3
299,ACSL1
300,ACSL3
301,ACSL4
302,ACSL5
303,ACSM3
304,ACSS1
305,ACSS2
306,ACSS3
307,ACTA1
308,ACTA2
309,ACTB
310,ACTC1
311,ACTG1
312,ACTG2
313,ACTL6A
314,ACTN1
315,ACTN4
316,ACTR10
317,ACTR1A
318,ACTR1B
319,ACTR2
320,ACTR3
321,ACTR3B
322,ACTR5
323,ACTR6
324,ACTR8
325,ACVR1
326,ACVR1B
327,ACVR2A
328,ACVR2B
329,ACVRL1
330,ACY1
331,ACY3
332,ACYP1
333,ACYP2
334,ADA
335,ADAL
336,ADAM10
337,ADAM11
338,ADAM12
339,ADAM15
340,ADAM17
341,ADAM19
342,ADAM22
343,ADAM23
344,ADAM28
345,ADAM33
346,Gm4787
347,ADAM8
348,ADAM9
349,ADAMDEC1
350,ADAMTS1
351,ADAMTS10
352,ADAMTS14
353,ADAMTS15
354,ADAMTS17
355,ADAMTS18
356,ADAMTS2
357,ADAMTS3
358,ADAMTS4
359,ADAMTS5
360,ADAMTS6
361,ADAMTS8
362,ADAMTS9
363,ADAMTSL1
364,ADAMTSL2
365,ADAMTSL3
366,ADAMTSL4
367,ADAMTSL5
368,ADAP1
369,ADAP2
370,ADAR
371,ADARB1
372,ADARB2
373,ADAT1
374,ADAT2
375,ADAT3
376,ADCK1
377,ADCK2
378,ADCK5
379,ADCY2
380,ADCY3
381,ADCY4
382,ADCY5
383,ADCY6
384,ADCY7
385,ADCY9
386,ADCYAP1R1
387,ADD1
388,ADD2
389,ADD3
390,ADGRA2
391,ADGRA3
392,ADGRB1
393,ADGRB2
394,ADGRD1
395,ADGRE1
396,ADGRE5
397,ADGRF3
398,ADGRF4
399,ADGRF5
400,ADGRG1
401,ADGRG2
402,ADGRG3
403,ADGRG5
